dataset,model,model_short,fingerprint,protocol,fold,n_features,n_nonzero,n_positive_importance,total_importance_raw,total_importance_positive,cumulative_top_10,fraction_top_10,cumulative_top_20,fraction_top_20,cumulative_top_50,fraction_top_50,cumulative_top_100,fraction_top_100,cumulative_top_150,fraction_top_150,cumulative_top_200,fraction_top_200,model_order,fingerprint_order,protocol_order,dataset_order
hiv,Logistic Regression,LR,ECFP4,OOD holdout,3,1024,974,974,0.9999999999999605,0.9999999999999605,0.0779922065849085,0.077992,0.13628530966002,0.136285,0.2697743693131932,0.269774,0.43212555243150147,0.432126,0.5550190578976809,0.555019,0.6497377819524568,0.649738,1,0,0,1
hiv,Logistic Regression,LR,ECFP4,Random shuffle,1,1024,1024,1024,0.9999999999999521,0.9999999999999521,0.0464938707197386,0.046494,0.07950443677617461,0.079504,0.1577936039392941,0.157794,0.26628048515525954,0.26628,0.3591065873808529,0.359107,0.4410056946076528,0.441006,1,0,1,1
hiv,Logistic Regression,LR,ECFP4,Random shuffle,2,1024,1024,1024,0.9999999999999527,0.9999999999999527,0.04135245598132561,0.041352,0.07503939725398831,0.075039,0.1571643733353015,0.157164,0.26715625099758156,0.267156,0.35848419299189493,0.358484,0.44115293677801665,0.441153,1,0,1,1
hiv,Logistic Regression,LR,ECFP4,Random shuffle,3,1024,1024,1024,0.9999999999999531,0.9999999999999531,0.041803481543600696,0.041803,0.07626370777377352,0.076264,0.16076609312916598,0.160766,0.2669052849597961,0.266905,0.35867440473903744,0.358674,0.4407481748194622,0.440748,1,0,1,1
hiv,Logistic Regression,LR,MACCS,OOD holdout,1,167,164,164,0.9999999999999919,0.9999999999999919,0.3099118860652718,0.309912,0.4649790858748847,0.464979,0.7145427285134642,0.714543,0.9144161908610928,0.914416,0.9967380354925675,0.996738,0.9999999999999919,1.0,1,1,0,1
hiv,Logistic Regression,LR,MACCS,OOD holdout,2,167,52,52,0.9999999999999971,0.9999999999999971,0.5226943438168499,0.522694,0.7647671591329973,0.764767,0.9979608433812212,0.997961,0.9999999999999971,1.0,0.9999999999999971,1.0,0.9999999999999971,1.0,1,1,0,1
hiv,Logistic Regression,LR,MACCS,OOD holdout,3,167,157,157,0.9999999999999927,0.9999999999999927,0.260320810403689,0.260321,0.41284709127931224,0.412847,0.7027259856809389,0.702726,0.9333309764749262,0.933331,0.9993092048559871,0.999309,0.9999999999999927,1.0,1,1,0,1
hiv,Logistic Regression,LR,MACCS,Random shuffle,1,167,164,164,0.9999999999999923,0.9999999999999923,0.2019346820627726,0.201935,0.3425896170479301,0.34259,0.6226648859024171,0.622665,0.871026954948811,0.871027,0.9902296286753025,0.99023,0.9999999999999923,1.0,1,1,1,1
hiv,Logistic Regression,LR,MACCS,Random shuffle,2,167,163,163,0.9999999999999922,0.9999999999999922,0.1968285952727556,0.196829,0.32970387945203683,0.329704,0.6168816282821329,0.616882,0.8865074448461951,0.886507,0.9946697279204286,0.99467,0.9999999999999922,1.0,1,1,1,1
hiv,Logistic Regression,LR,MACCS,Random shuffle,3,167,163,163,0.9999999999999918,0.9999999999999918,0.2015498286590739,0.20155,0.3433891632566938,0.343389,0.6234737143734786,0.623474,0.8915691170116317,0.891569,0.9968239621450496,0.996824,0.9999999999999918,1.0,1,1,1,1
