dataset,model,model_short,fingerprint,protocol,fold,n_features,n_nonzero,n_positive_importance,total_importance_raw,total_importance_positive,cumulative_top_10,fraction_top_10,cumulative_top_20,fraction_top_20,cumulative_top_50,fraction_top_50,cumulative_top_100,fraction_top_100,cumulative_top_150,fraction_top_150,cumulative_top_200,fraction_top_200,model_order,fingerprint_order,protocol_order,dataset_order
hiv,Decision Tree,DT,ECFP4,Random shuffle,1,1024,64,35,0.0055466912623488365,0.011510291800136538,0.009420782272281398,0.818466,0.010993328127439089,0.955087,0.011510291800136538,1.0,0.011510291800136538,1.0,0.011510291800136538,1.0,0.011510291800136538,1.0,0,0,1,1
hiv,Decision Tree,DT,ECFP4,Random shuffle,2,1024,65,36,0.09771643425159453,0.10873147697706927,0.1041616842245539,0.957972,0.1082212755357245,0.995308,0.10873147697706927,1.0,0.10873147697706927,1.0,0.10873147697706927,1.0,0.10873147697706927,1.0,0,0,1,1
hiv,Decision Tree,DT,ECFP4,Random shuffle,3,1024,153,83,0.016306530907667073,0.026643871271463084,0.0161659838076766,0.606743,0.0216435398183221,0.812327,0.026107619766927683,0.979873,0.026643871271463084,1.0,0.026643871271463084,1.0,0.026643871271463084,1.0,0,0,1,1
hiv,Decision Tree,DT,MACCS,OOD holdout,1,167,70,41,0.2851142594058094,0.3232533072736091,0.2872936473753992,0.888757,0.3128542557172398,0.96783,0.3232533072736091,1.0,0.3232533072736091,1.0,0.3232533072736091,1.0,0.3232533072736091,1.0,0,1,0,1
hiv,Decision Tree,DT,MACCS,OOD holdout,2,167,114,68,-6.164667356420295e-05,0.02690972144274973,0.014428920165177498,0.536197,0.019976030109154,0.742335,0.026251380914921844,0.975535,0.02690972144274973,1.0,0.02690972144274973,1.0,0.02690972144274973,1.0,0,1,0,1
hiv,Decision Tree,DT,MACCS,OOD holdout,3,167,107,60,0.0005859520925999354,0.0160447435175131,0.008800973296420801,0.548527,0.012062815178290802,0.751823,0.01595633584246957,0.99449,0.0160447435175131,1.0,0.0160447435175131,1.0,0.0160447435175131,1.0,0,1,0,1
hiv,Decision Tree,DT,MACCS,Random shuffle,1,167,133,76,0.05375790333703055,0.12479861809078775,0.0840799010976082,0.673725,0.10154791078670561,0.813694,0.12167444703079011,0.974966,0.12479861809078775,1.0,0.12479861809078775,1.0,0.12479861809078775,1.0,0,1,1,1
hiv,Decision Tree,DT,MACCS,Random shuffle,2,167,139,88,0.09035102379757837,0.14044197140638034,0.07954172496736282,0.566367,0.108758768044163,0.774404,0.1357768064038973,0.966782,0.14044197140638034,1.0,0.14044197140638034,1.0,0.14044197140638034,1.0,0,1,1,1
hiv,Decision Tree,DT,MACCS,Random shuffle,3,167,118,58,-0.003918627460143223,0.016812474006752155,0.0103640888408377,0.616452,0.013874054732279699,0.825224,0.016749252483587995,0.99624,0.016812474006752155,1.0,0.016812474006752155,1.0,0.016812474006752155,1.0,0,1,1,1
hiv,Logistic Regression,LR,ECFP4,OOD holdout,1,1024,105,105,0.9999999999999951,0.9999999999999951,0.34847083543693547,0.348471,0.516623035791822,0.516623,0.8417064922577622,0.841706,0.9991489295668651,0.999149,0.999999999999995,1.0,0.9999999999999949,1.0,1,0,0,1
hiv,Logistic Regression,LR,ECFP4,OOD holdout,2,1024,1024,1024,0.9999999999999516,0.9999999999999516,0.035486508357295804,0.035487,0.0647286737515115,0.064729,0.13981004788011228,0.13981,0.2464612553503457,0.246461,0.33906705003094184,0.339067,0.4205555251426125,0.420556,1,0,0,1
