dataset,dataset_label,model,model_short,fingerprint,protocol,fold,inner_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total,model_order,fingerprint_order,protocol_order,dataset_order
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,2,0.8825456005645301,0.9749,0.8614,0.021145600564530076,0.11349999999999993,SVC,svm_linear_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1007.0,0.0166015625,235.65142669243846,9.391182547592953,0.10648286250769444,[-1.0691463674177921],0.25,,,,"[477, 738]",1215.0,2,0,1,0
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,3,0.9013344774434486,0.9741,0.7873,0.11403447744344863,0.18679999999999997,SVC,svm_linear_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1004.0,0.01953125,155.30120976933785,6.207064274672897,0.16110675767936986,[-1.9299426054061526],0.1,,,,"[428, 827]",1255.0,2,0,1,0
drd2,DRD2,Linear SVM,SVM,MACCS,OOD holdout,1,0.8098847215847476,0.9053,0.6489,0.16098472158474753,0.25639999999999996,SVC,svm_linear_drd2_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,147.0,0.11976047904191611,53.04101448553972,5.650165947137047,0.17698595215715787,[-6.073569711754468],1.0,,,,"[543, 580]",1123.0,2,1,0,0
drd2,DRD2,Linear SVM,SVM,MACCS,OOD holdout,2,0.7131337831288191,0.8842,0.7832,-0.07006621687118086,0.10099999999999998,SVC,svm_linear_drd2_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,148.0,0.11377245508982037,120.56553051704503,15.71257587457409,0.06364328853413452,[-8.896027793508711],25.0,,,,"[531, 909]",1440.0,2,1,0,0
drd2,DRD2,Linear SVM,SVM,MACCS,OOD holdout,3,0.7146528408128571,0.9063,0.786,-0.07134715918714296,0.12029999999999996,SVC,svm_linear_drd2_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,143.0,0.14371257485029942,128.51955684284206,15.964131852686629,0.06264042474891664,[-8.208491854192385],50.0,,,,"[456, 958]",1414.0,2,1,0,0
drd2,DRD2,Linear SVM,SVM,MACCS,Random shuffle,1,0.8729367083316345,0.9244,0.6557,0.21723670833163455,0.26870000000000005,SVC,svm_linear_drd2_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,146.0,0.12574850299401197,109.01440292747614,12.888840605252897,0.07758649754675732,[-9.123931009458042],50.0,,,,"[397, 906]",1303.0,2,1,1,0
drd2,DRD2,Linear SVM,SVM,MACCS,Random shuffle,2,0.8333596868604389,0.8831,0.7838,0.04955968686043888,0.09929999999999994,SVC,svm_linear_drd2_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,148.0,0.11377245508982037,111.93131301181232,14.341337933371214,0.06972850124904144,[-8.315348874684407],10.0,,,,"[534, 911]",1445.0,2,1,1,0
drd2,DRD2,Linear SVM,SVM,MACCS,Random shuffle,3,0.85304696766839,0.9062,0.7858,0.06724696766839,0.12039999999999995,SVC,svm_linear_drd2_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,143.0,0.14371257485029942,128.39098107537058,15.948590720789548,0.06270146481948809,[-8.168640260573008],50.0,,,,"[451, 961]",1412.0,2,1,1,0
hiv,HIV,Decision Tree,DT,ECFP4,OOD holdout,1,0.11253571593178438,0.1173,0.0395,0.07303571593178437,0.07780000000000001,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,3.0,15.0,8.0,7.0,0.0068359375,entropy,3.0,log2,5.0,10.0,0.0,,1.4285714285714286,0.7284313590846835,0.0,2.0,,,,,,,,,,,,,,,0,0,0,1
hiv,HIV,Decision Tree,DT,ECFP4,OOD holdout,2,0.08738139107141737,0.273,0.0748,0.01258139107141737,0.19820000000000002,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,15.0,351.0,176.0,145.0,0.1416015625,gini,15.0,log2,5.0,20.0,0.0,,8.806896551724138,3.574423612516044,0.0,14.0,,,,,,,,,,,,,,,0,0,0,1
