dataset,model,fingerprint,fold,top_k,n_overlap,overlap_percent
hiv,Logistic Regression,ECFP4,1,100,48,48.0
hiv,Logistic Regression,ECFP4,1,150,62,41.33
hiv,Logistic Regression,ECFP4,1,200,83,41.5
hiv,Logistic Regression,ECFP4,2,10,5,50.0
hiv,Logistic Regression,ECFP4,2,20,7,35.0
hiv,Logistic Regression,ECFP4,2,50,25,50.0
hiv,Logistic Regression,ECFP4,2,100,57,57.0
hiv,Logistic Regression,ECFP4,2,150,90,60.0
hiv,Logistic Regression,ECFP4,2,200,123,61.5
hiv,Logistic Regression,ECFP4,3,10,5,50.0
hiv,Logistic Regression,ECFP4,3,20,9,45.0
hiv,Logistic Regression,ECFP4,3,50,35,70.0
hiv,Logistic Regression,ECFP4,3,100,61,61.0
hiv,Logistic Regression,ECFP4,3,150,106,70.67
hiv,Logistic Regression,ECFP4,3,200,139,69.5
hiv,Logistic Regression,MACCS,1,10,3,30.0
hiv,Logistic Regression,MACCS,1,20,10,50.0
hiv,Logistic Regression,MACCS,1,50,36,72.0
hiv,Logistic Regression,MACCS,1,100,72,72.0
hiv,Logistic Regression,MACCS,1,150,137,91.33
hiv,Logistic Regression,MACCS,1,200,167,83.5
hiv,Logistic Regression,MACCS,2,10,7,70.0
hiv,Logistic Regression,MACCS,2,20,13,65.0
hiv,Logistic Regression,MACCS,2,50,34,68.0
hiv,Logistic Regression,MACCS,2,100,65,65.0
hiv,Logistic Regression,MACCS,2,150,133,88.67
hiv,Logistic Regression,MACCS,2,200,167,83.5
hiv,Logistic Regression,MACCS,3,10,7,70.0
hiv,Logistic Regression,MACCS,3,20,12,60.0
hiv,Logistic Regression,MACCS,3,50,30,60.0
hiv,Logistic Regression,MACCS,3,100,70,70.0
hiv,Logistic Regression,MACCS,3,150,137,91.33
hiv,Logistic Regression,MACCS,3,200,167,83.5
hiv,Logistic Regression,RDKit desc,1,10,3,30.0
hiv,Logistic Regression,RDKit desc,1,20,7,35.0
hiv,Logistic Regression,RDKit desc,1,50,26,52.0
hiv,Logistic Regression,RDKit desc,1,100,66,66.0
hiv,Logistic Regression,RDKit desc,1,150,120,80.0
hiv,Logistic Regression,RDKit desc,1,200,187,93.5
hiv,Logistic Regression,RDKit desc,2,10,8,80.0
hiv,Logistic Regression,RDKit desc,2,20,14,70.0
hiv,Logistic Regression,RDKit desc,2,50,33,66.0
hiv,Logistic Regression,RDKit desc,2,100,75,75.0
hiv,Logistic Regression,RDKit desc,2,150,122,81.33
hiv,Logistic Regression,RDKit desc,2,200,187,93.5
hiv,Logistic Regression,RDKit desc,3,10,5,50.0
hiv,Logistic Regression,RDKit desc,3,20,12,60.0
hiv,Logistic Regression,RDKit desc,3,50,37,74.0
hiv,Logistic Regression,RDKit desc,3,100,79,79.0
hiv,Logistic Regression,RDKit desc,3,150,130,86.67
hiv,Logistic Regression,RDKit desc,3,200,186,93.0
kdr,Decision Tree,ECFP4,1,10,0,0.0
kdr,Decision Tree,ECFP4,1,20,0,0.0
kdr,Decision Tree,ECFP4,1,50,1,2.0
kdr,Decision Tree,ECFP4,1,100,11,11.0
kdr,Decision Tree,ECFP4,1,150,27,18.0
kdr,Decision Tree,ECFP4,1,200,43,21.5
kdr,Decision Tree,ECFP4,2,10,0,0.0
kdr,Decision Tree,ECFP4,2,20,0,0.0
kdr,Decision Tree,ECFP4,2,50,2,4.0
kdr,Decision Tree,ECFP4,2,100,11,11.0
kdr,Decision Tree,ECFP4,2,150,36,24.0
kdr,Decision Tree,ECFP4,2,200,91,45.5
kdr,Decision Tree,ECFP4,3,10,0,0.0
kdr,Decision Tree,ECFP4,3,20,0,0.0
kdr,Decision Tree,ECFP4,3,50,2,4.0
kdr,Decision Tree,ECFP4,3,100,9,9.0
kdr,Decision Tree,ECFP4,3,150,22,14.67
kdr,Decision Tree,ECFP4,3,200,36,18.0
kdr,Decision Tree,MACCS,1,10,1,10.0
kdr,Decision Tree,MACCS,1,20,3,15.0
kdr,Decision Tree,MACCS,1,50,6,12.0
kdr,Decision Tree,MACCS,1,100,52,52.0
kdr,Decision Tree,MACCS,1,150,137,91.33
kdr,Decision Tree,MACCS,1,200,167,83.5
kdr,Decision Tree,MACCS,2,10,3,30.0
kdr,Decision Tree,MACCS,2,20,4,20.0
kdr,Decision Tree,MACCS,2,50,11,22.0
kdr,Decision Tree,MACCS,2,100,56,56.0
kdr,Decision Tree,MACCS,2,150,134,89.33
kdr,Decision Tree,MACCS,2,200,167,83.5
kdr,Decision Tree,MACCS,3,10,1,10.0
kdr,Decision Tree,MACCS,3,20,3,15.0
kdr,Decision Tree,MACCS,3,50,8,16.0
kdr,Decision Tree,MACCS,3,100,46,46.0
kdr,Decision Tree,MACCS,3,150,138,92.0
kdr,Decision Tree,MACCS,3,200,167,83.5
kdr,Linear SVM,ECFP4,1,10,0,0.0
kdr,Linear SVM,ECFP4,1,20,0,0.0
kdr,Linear SVM,ECFP4,1,50,2,4.0
kdr,Linear SVM,ECFP4,1,100,13,13.0
kdr,Linear SVM,ECFP4,1,150,32,21.33
kdr,Linear SVM,ECFP4,1,200,50,25.0
kdr,Linear SVM,ECFP4,2,10,0,0.0
kdr,Linear SVM,ECFP4,2,20,1,5.0
kdr,Linear SVM,ECFP4,2,50,4,8.0
kdr,Linear SVM,ECFP4,2,100,12,12.0
kdr,Linear SVM,ECFP4,2,150,22,14.67
kdr,Linear SVM,ECFP4,2,200,38,19.0
kdr,Linear SVM,ECFP4,3,10,0,0.0
kdr,Linear SVM,ECFP4,3,20,1,5.0
kdr,Linear SVM,ECFP4,3,50,3,6.0
kdr,Linear SVM,ECFP4,3,100,11,11.0
kdr,Linear SVM,ECFP4,3,150,26,17.33
kdr,Linear SVM,ECFP4,3,200,43,21.5
kdr,Linear SVM,MACCS,1,10,1,10.0
kdr,Linear SVM,MACCS,1,20,3,15.0
kdr,Linear SVM,MACCS,1,50,21,42.0
kdr,Linear SVM,MACCS,1,100,77,77.0
kdr,Linear SVM,MACCS,1,150,140,93.33
kdr,Linear SVM,MACCS,1,200,167,83.5
kdr,Linear SVM,MACCS,2,10,1,10.0
kdr,Linear SVM,MACCS,2,20,5,25.0
kdr,Linear SVM,MACCS,2,50,15,30.0
kdr,Linear SVM,MACCS,2,100,62,62.0
kdr,Linear SVM,MACCS,2,150,141,94.0
kdr,Linear SVM,MACCS,2,200,167,83.5
kdr,Linear SVM,MACCS,3,10,0,0.0
kdr,Linear SVM,MACCS,3,20,3,15.0
kdr,Linear SVM,MACCS,3,50,14,28.0
kdr,Linear SVM,MACCS,3,100,62,62.0
kdr,Linear SVM,MACCS,3,150,142,94.67
kdr,Linear SVM,MACCS,3,200,167,83.5
kdr,Logistic Regression,ECFP4,1,10,0,0.0
kdr,Logistic Regression,ECFP4,1,20,0,0.0
kdr,Logistic Regression,ECFP4,1,50,3,6.0
kdr,Logistic Regression,ECFP4,1,100,18,18.0
kdr,Logistic Regression,ECFP4,1,150,40,26.67
kdr,Logistic Regression,ECFP4,1,200,64,32.0
kdr,Logistic Regression,ECFP4,2,10,1,10.0
kdr,Logistic Regression,ECFP4,2,20,1,5.0
kdr,Logistic Regression,ECFP4,2,50,5,10.0
kdr,Logistic Regression,ECFP4,2,100,18,18.0
kdr,Logistic Regression,ECFP4,2,150,31,20.67
kdr,Logistic Regression,ECFP4,2,200,53,26.5
kdr,Logistic Regression,ECFP4,3,10,1,10.0
kdr,Logistic Regression,ECFP4,3,20,2,10.0
kdr,Logistic Regression,ECFP4,3,50,6,12.0
kdr,Logistic Regression,ECFP4,3,100,14,14.0
kdr,Logistic Regression,ECFP4,3,150,25,16.67
kdr,Logistic Regression,ECFP4,3,200,44,22.0
kdr,Logistic Regression,MACCS,1,10,1,10.0
kdr,Logistic Regression,MACCS,1,20,4,20.0
kdr,Logistic Regression,MACCS,1,50,20,40.0
kdr,Logistic Regression,MACCS,1,100,71,71.0
kdr,Logistic Regression,MACCS,1,150,134,89.33
kdr,Logistic Regression,MACCS,1,200,167,83.5
kdr,Logistic Regression,MACCS,2,10,2,20.0
kdr,Logistic Regression,MACCS,2,20,7,35.0
kdr,Logistic Regression,MACCS,2,50,14,28.0
kdr,Logistic Regression,MACCS,2,100,65,65.0
kdr,Logistic Regression,MACCS,2,150,140,93.33
kdr,Logistic Regression,MACCS,2,200,167,83.5
kdr,Logistic Regression,MACCS,3,10,0,0.0
kdr,Logistic Regression,MACCS,3,20,1,5.0
kdr,Logistic Regression,MACCS,3,50,22,44.0
kdr,Logistic Regression,MACCS,3,100,72,72.0
kdr,Logistic Regression,MACCS,3,150,135,90.0
kdr,Logistic Regression,MACCS,3,200,167,83.5
kdr,Logistic Regression,RDKit desc,1,10,1,10.0
kdr,Logistic Regression,RDKit desc,1,20,2,10.0
kdr,Logistic Regression,RDKit desc,1,50,11,22.0
kdr,Logistic Regression,RDKit desc,1,100,38,38.0
kdr,Logistic Regression,RDKit desc,1,150,96,64.0
kdr,Logistic Regression,RDKit desc,1,200,183,91.5
kdr,Logistic Regression,RDKit desc,2,10,0,0.0
kdr,Logistic Regression,RDKit desc,2,20,3,15.0
kdr,Logistic Regression,RDKit desc,2,50,13,26.0
kdr,Logistic Regression,RDKit desc,2,100,40,40.0
kdr,Logistic Regression,RDKit desc,2,150,100,66.67
kdr,Logistic Regression,RDKit desc,2,200,185,92.5
kdr,Logistic Regression,RDKit desc,3,10,1,10.0
kdr,Logistic Regression,RDKit desc,3,20,2,10.0
kdr,Logistic Regression,RDKit desc,3,50,12,24.0
kdr,Logistic Regression,RDKit desc,3,100,55,55.0
kdr,Logistic Regression,RDKit desc,3,150,117,78.0
kdr,Logistic Regression,RDKit desc,3,200,190,95.0
sol,Decision Tree,ECFP4,1,10,4,40.0
sol,Decision Tree,ECFP4,1,20,7,35.0
sol,Decision Tree,ECFP4,1,50,15,30.0
sol,Decision Tree,ECFP4,1,100,66,66.0
sol,Decision Tree,ECFP4,1,150,120,80.0
sol,Decision Tree,ECFP4,1,200,167,83.5
sol,Decision Tree,ECFP4,2,10,3,30.0
sol,Decision Tree,ECFP4,2,20,4,20.0
sol,Decision Tree,ECFP4,2,50,18,36.0
sol,Decision Tree,ECFP4,2,100,69,69.0
sol,Decision Tree,ECFP4,2,150,118,78.67
sol,Decision Tree,ECFP4,2,200,168,84.0
sol,Decision Tree,ECFP4,3,10,7,70.0
sol,Decision Tree,ECFP4,3,20,12,60.0
sol,Decision Tree,ECFP4,3,50,32,64.0
sol,Decision Tree,ECFP4,3,100,82,82.0
sol,Decision Tree,ECFP4,3,150,133,88.67
sol,Decision Tree,ECFP4,3,200,183,91.5
sol,Decision Tree,MACCS,1,10,1,10.0
sol,Decision Tree,MACCS,1,20,1,5.0
sol,Decision Tree,MACCS,1,50,17,34.0
sol,Decision Tree,MACCS,1,100,74,74.0
sol,Decision Tree,MACCS,1,150,135,90.0
sol,Decision Tree,MACCS,1,200,167,83.5
sol,Decision Tree,MACCS,2,10,2,20.0
sol,Decision Tree,MACCS,2,20,6,30.0
sol,Decision Tree,MACCS,2,50,30,60.0
sol,Decision Tree,MACCS,2,100,83,83.0
sol,Decision Tree,MACCS,2,150,135,90.0
sol,Decision Tree,MACCS,2,200,167,83.5
sol,Decision Tree,MACCS,3,10,2,20.0
