feature_idx,feature_name,tree_importance,minimum_depth,used_in_tree,normalized_tree_importance,rank_tree_importance,model,model_short,fingerprint,protocol,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,importance,raw_importance,abs_importance,rank,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight,top_k
148,maccs_bit_148,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0097086134790106,-1.4292355869041822,1.4292355869041822,31,-1.4292355869041822,1.4292355869041822,0.0097086134790106,negative,31.0,50
28,maccs_bit_28,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0096744125953902,1.4242007670424652,1.4242007670424652,32,1.4242007670424652,1.4242007670424652,0.0096744125953902,positive,32.0,50
92,maccs_bit_92,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0095440554273118,-1.4050104775095205,1.4050104775095205,33,-1.4050104775095205,1.4050104775095205,0.0095440554273118,negative,33.0,50
123,maccs_bit_123,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0093437023418042,-1.3755158683799449,1.3755158683799449,34,-1.3755158683799449,1.3755158683799449,0.0093437023418042,negative,34.0,50
86,maccs_bit_86,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0087741047031843,1.2916636049138823,1.2916636049138823,35,1.2916636049138823,1.2916636049138823,0.0087741047031843,positive,35.0,50
118,maccs_bit_118,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0081632734868041,1.2017412165182588,1.2017412165182588,36,1.2017412165182588,1.2017412165182588,0.0081632734868041,positive,36.0,50
64,maccs_bit_64,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0080690074104922,-1.1878640103452045,1.1878640103452045,37,-1.1878640103452045,1.1878640103452045,0.0080690074104922,negative,37.0,50
71,maccs_bit_71,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0072861931327012,-1.0726234534753225,1.0726234534753225,38,-1.0726234534753225,1.0726234534753225,0.0072861931327012,negative,38.0,50
53,maccs_bit_53,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0071254915944228,-1.0489660735750674,1.0489660735750674,39,-1.0489660735750674,1.0489660735750674,0.0071254915944228,negative,39.0,50
153,maccs_bit_153,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0067005223422803,-0.9864050106781586,0.9864050106781586,40,-0.9864050106781586,0.9864050106781586,0.0067005223422803,negative,40.0,50
117,maccs_bit_117,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0066486202842823,0.97876434515113,0.97876434515113,41,0.97876434515113,0.97876434515113,0.0066486202842823,positive,41.0,50
38,maccs_bit_38,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0066292889915129,-0.9759185246200516,0.9759185246200516,42,-0.9759185246200516,0.9759185246200516,0.0066292889915129,negative,42.0,50
155,maccs_bit_155,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0064787617068051,0.9537589286520508,0.9537589286520508,43,0.9537589286520508,0.9537589286520508,0.0064787617068051,positive,43.0,50
25,maccs_bit_25,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0064384118952806,0.9478189057352434,0.9478189057352434,44,0.9478189057352434,0.9478189057352434,0.0064384118952806,positive,44.0,50
147,maccs_bit_147,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0059579856868432,-0.8770938495297744,0.8770938495297744,45,-0.8770938495297744,0.8770938495297744,0.0059579856868432,negative,45.0,50
142,maccs_bit_142,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.005936001813339,-0.8738575342291276,0.8738575342291276,46,-0.8738575342291276,0.8738575342291276,0.005936001813339,negative,46.0,50
94,maccs_bit_94,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0058707184446984,-0.8642469637912488,0.8642469637912488,47,-0.8642469637912488,0.8642469637912488,0.0058707184446984,negative,47.0,50
19,maccs_bit_19,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0058402097636354,-0.8597556847039721,0.8597556847039721,48,-0.8597556847039721,0.8597556847039721,0.0058402097636354,negative,48.0,50
152,maccs_bit_152,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0056826680734895,0.8365634760055514,0.8365634760055514,49,0.8365634760055514,0.8365634760055514,0.0056826680734895,positive,49.0,50
133,maccs_bit_133,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0055075551530651,0.8107845511221666,0.8107845511221666,50,0.8107845511221666,0.8107845511221666,0.0055075551530651,positive,50.0,50
201,rdkit_desc_201,,,,,,Logistic Regression,lr,rdkit_desc,OOD holdout,1,0.8525260265847203,0.9159616592009351,0.9245,0.7247,0.0224705775912313,-0.4463726090844447,0.4463726090844447,1,-0.4463726090844447,0.4463726090844447,0.0224705775912313,negative,1.0,50
58,rdkit_desc_58,,,,,,Logistic Regression,lr,rdkit_desc,OOD holdout,1,0.8525260265847203,0.9159616592009351,0.9245,0.7247,0.0208891404294094,0.414957740945896,0.414957740945896,2,0.414957740945896,0.414957740945896,0.0208891404294094,positive,2.0,50
22,rdkit_desc_22,,,,,,Logistic Regression,lr,rdkit_desc,OOD holdout,1,0.8525260265847203,0.9159616592009351,0.9245,0.7247,0.0204800028033441,0.4068303205945542,0.4068303205945542,3,0.4068303205945542,0.4068303205945542,0.0204800028033441,positive,3.0,50
116,rdkit_desc_116,,,,,,Logistic Regression,lr,rdkit_desc,OOD holdout,1,0.8525260265847203,0.9159616592009351,0.9245,0.7247,0.0204349245544558,-0.405934852042955,0.405934852042955,4,-0.405934852042955,0.405934852042955,0.0204349245544558,negative,4.0,50
27,rdkit_desc_27,,,,,,Logistic Regression,lr,rdkit_desc,OOD holdout,1,0.8525260265847203,0.9159616592009351,0.9245,0.7247,0.0198165080879441,-0.3936501579563499,0.3936501579563499,5,-0.3936501579563499,0.3936501579563499,0.0198165080879441,negative,5.0,50
177,rdkit_desc_177,,,,,,Logistic Regression,lr,rdkit_desc,OOD holdout,1,0.8525260265847203,0.9159616592009351,0.9245,0.7247,0.0183904147574705,-0.365321157594123,0.365321157594123,6,-0.365321157594123,0.365321157594123,0.0183904147574705,negative,6.0,50
4,rdkit_desc_4,,,,,,Logistic Regression,lr,rdkit_desc,OOD holdout,1,0.8525260265847203,0.9159616592009351,0.9245,0.7247,0.0154820904560772,0.3075479961697711,0.3075479961697711,7,0.3075479961697711,0.3075479961697711,0.0154820904560772,positive,7.0,50
59,rdkit_desc_59,,,,,,Logistic Regression,lr,rdkit_desc,OOD holdout,1,0.8525260265847203,0.9159616592009351,0.9245,0.7247,0.0142369020956026,-0.2828126294436618,0.2828126294436618,8,-0.2828126294436618,0.2828126294436618,0.0142369020956026,negative,8.0,50
