dataset,dataset_label,model,model_short,fingerprint,protocol,fold,inner_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total,dataset_order,model_order,fingerprint_order,protocol_order
hiv,HIV,Linear SVM,SVM,ECFP4,Random shuffle,1,0.34969035292795037,0.512,0.0764,0.27329035292795034,0.4356,SVC,svm_linear_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1023.0,0.0009765625,2.1788298814747398,0.09256380930601968,10.803358326513548,[-1.0271162648175318],0.001,,,,"[923, 599]",1522.0,1,2,0,1
hiv,HIV,Linear SVM,SVM,ECFP4,Random shuffle,2,0.3131680283801283,0.3887,0.1013,0.2118680283801283,0.2874,SVC,svm_linear_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,35.8820601163394,1.5673075762887492,0.6380368570462186,[-1.0407047647459766],0.001,,,,"[10477, 362]",10839.0,1,2,0,1
hiv,HIV,Linear SVM,SVM,ECFP4,Random shuffle,3,0.46341567614310636,0.65,0.0242,0.43921567614310636,0.6258,SVC,svm_linear_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,71.95262687728824,2.852697325687211,0.35054542625166213,[-1.7343804095459134],0.05,,,,"[1107, 713]",1820.0,1,2,0,1
sol,Sol,Decision Tree,DT,ECFP4,OOD holdout,1,0.39068944543983397,0.5752,0.3182,0.07248944543983399,0.25700000000000006,DecisionTreeClassifier,dt_sol_hi_inner_ood_holdout_ecfp4,ecfp4,1024,20.0,199.0,100.0,90.0,0.087890625,entropy,20.0,sqrt,5.0,20.0,0.001,balanced,10.033333333333333,4.517742799230607,0.0,19.0,,,,,,,,,,,,,,,2,0,0,0
sol,Sol,Decision Tree,DT,ECFP4,OOD holdout,2,0.39342659928581936,0.5408,0.3382,0.055226599285819356,0.20259999999999995,DecisionTreeClassifier,dt_sol_hi_inner_ood_holdout_ecfp4,ecfp4,1024,10.0,75.0,38.0,31.0,0.0302734375,gini,10.0,,20.0,2.0,0.0,,4.096774193548387,2.084579925342389,0.0,9.0,,,,,,,,,,,,,,,2,0,0,0
sol,Sol,Decision Tree,DT,ECFP4,OOD holdout,3,0.3723241266790944,0.7555,0.2934,0.07892412667909443,0.46209999999999996,DecisionTreeClassifier,dt_sol_hi_inner_ood_holdout_ecfp4,ecfp4,1024,15.0,127.0,64.0,56.0,0.0546875,gini,20.0,,5.0,2.0,0.001,,6.285714285714286,3.320468371191274,0.0,14.0,,,,,,,,,,,,,,,2,0,0,0
sol,Sol,Decision Tree,DT,ECFP4,Random shuffle,1,0.3514280470901113,0.613,0.3439,0.0075280470901112895,0.2691,DecisionTreeClassifier,dt_sol_hi_random_shuffle_ecfp4,ecfp4,1024,19.0,147.0,74.0,68.0,0.06640625,gini,20.0,sqrt,5.0,2.0,0.001,balanced,8.588235294117647,4.184127198738694,0.0,18.0,,,,,,,,,,,,,,,2,0,0,1
sol,Sol,Decision Tree,DT,ECFP4,Random shuffle,2,0.40103704563916703,0.5262,0.3088,0.09223704563916701,0.21739999999999998,DecisionTreeClassifier,dt_sol_hi_random_shuffle_ecfp4,ecfp4,1024,8.0,69.0,35.0,28.0,0.02734375,entropy,8.0,,20.0,2.0,0.0001,,3.6785714285714284,1.753640528170131,0.0,7.0,,,,,,,,,,,,,,,2,0,0,1
sol,Sol,Decision Tree,DT,ECFP4,Random shuffle,3,0.4242111744337293,0.8089,0.2982,0.12601117443372928,0.5106999999999999,DecisionTreeClassifier,dt_sol_hi_random_shuffle_ecfp4,ecfp4,1024,15.0,217.0,109.0,83.0,0.0810546875,gini,15.0,,5.0,2.0,0.0,,7.433734939759036,3.533634502493565,0.0,14.0,,,,,,,,,,,,,,,2,0,0,1
sol,Sol,Logistic Regression,LR,ECFP4,OOD holdout,1,0.4755100336686404,0.8502,0.505,-0.029489966331359585,0.34519999999999995,LogisticRegression,lr_sol_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,68.55546680968479,2.89539107670722,0.3453764874958614,[-2.710846314422519],0.05,elasticnet,0.0,False,,,2,1,0,0
